"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
0,000378;1,16;0;1,16;18.900;-60;-60;-60
0,000379;1,16;0;1,16;18.950;-34,446;-60;-34,4468
0,00038;1,16;0;1,16;19.000;-26,4156;-60;-26,4155
0,000381;1,124;0;1,124;19.050;-33,2256;-60;-33,2248
0,000382;1,12;0;1,12;19.100;-60;-60;-60
0,000383;1,12;0;1,12;19.150;-60;-60;-60
0,000384;1,12;0;1,12;19.200;-60;-60;-60
0,000385;1,12;0;1,12;19.250;-60;-60;-60
0,000386;1,12;0;1,12;19.300;-60;-60;-60
0,000387;1,12;0;1,12;19.350;-60;-60;-60
0,000388;1,12;0;1,12;19.400;-60;-60;-60
0,000389;1,12;0;1,12;19.450;-60;-40,7957;-40,7986
0,00039;1,12;0;1,12;19.500;-60;-32,7492;-32,7486
0,000391;1,08;0;1,08;19.550;-60;-39,5431;-39,5395
0,000392;1,08;0;1,08;19.600;-60;-60;-60
0,000393;1,08;0;1,08;19.650;-60;-60;-60
0,000394;1,08;0;1,08;19.700;-60;-60;-60
0,000395;1,08;0;1,08;19.750;-60;-60;-60
0,000396;1,08;0;1,08;19.800;-60;-60;-60
0,000397;1,08;0;1,08;19.850;-60;-60;-60
0,000398;1,08;0;1,08;19.900;-60;-60;-60
0,000399;1,08;0;1,08;19.950;-34,9258;-60;-34,9266
0,0004;1,076;0;1,076;20.000;-26,8629;-60;-26,8627
0,000401;1,04;0;1,04;20.050;-33,6411;-60;-33,6403
0,000402;1,04;0;1,04;20.100;-60;-60;-60
0,000403;1,04;0;1,04;20.150;-60;-60;-60
0,000404;1,04;0;1,04;20.200;-60;-60;-60
0,000405;1,04;0;1,04;20.250;-60;-60;-60
0,000406;1,04;0;1,04;20.300;-60;-60;-60
0,000407;1,04;0;1,04;20.350;-60;-60;-60
0,000408;1,04;0;1,04;20.400;-60;-60;-60
0,000409;1,04;0;1,04;20.450;-60;-41,2647;-41,2685
0,00041;1,032;0;1,032;20.500;-60;-33,1852;-33,1843
0,000411;1;0;1;20.550;-60;-39,9478;-39,9446
0,000412;1;0;1;20.600;-60;-60;-60
0,000413;1;0;1;20.650;-60;-60;-60
0,000414;1;0;1;20.700;-60;-60;-60
0,000415;1;0;1;20.750;-60;-60;-60
0,000416;1;0;1;20.800;-60;-60;-60
0,000417;1;0;1;20.850;-60;-60;-60
0,000418;1;0;1;20.900;-60;-60;-60
0,000419;1;0;1;20.950;-35,384;-60;-35,3849
0,00042;0,988;0;0,988;21.000;-27,2885;-60;-27,2883
0,000421;0,96;0;0,96;21.050;-34,035;-60;-34,0341
0,000422;0,96;0;0,96;21.100;-60;-60;-60
0,000423;0,96;0;0,96;21.150;-60;-60;-60
0,000424;0,96;0;0,96;21.200;-60;-60;-60
0,000425;0,96;0;0,96;21.250;-60;-60;-60
0,000426;0,96;0;0,96;21.300;-60;-60;-60
0,000427;0,96;0;0,96;21.350;-60;-60;-60
0,000428;0,96;0;0,96;21.400;-60;-60;-60
0,000429;0,96;0;0,96;21.450;-60;-41,7131;-41,7174
0,00043;0,944;0;0,944;21.500;-60;-33,6007;-33,5995
0,000431;0,92;0;0,92;21.550;-60;-40,3319;-40,3288
0,000432;0,92;0;0,92;21.600;-60;-60;-60
0,000433;0,92;0;0,92;21.650;-60;-60;-60
0,000434;0,92;0;0,92;21.700;-60;-60;-60
0,000435;0,92;0;0,92;21.750;-60;-60;-60
0,000436;0,92;0;0,92;21.800;-60;-60;-60
0,000437;0,92;0;0,92;21.850;-60;-60;-60
0,000438;0,92;0;0,92;21.900;-60;-60;-60
0,000439;0,92;0;0,92;21.950;-35,8229;-60;-35,8238
0,00044;0,9;0;0,9;22.000;-27,6944;-60;-27,6941
0,000441;0,88;0;0,88;22.050;-34,4096;-60;-34,4086
0,000442;0,88;0;0,88;22.100;-60;-60;-60
0,000443;0,88;0;0,88;22.150;-60;-60;-60
0,000444;0,88;0;0,88;22.200;-60;-60;-60
0,000445;0,88;0;0,88;22.250;-60;-60;-60
0,000446;0,88;0;0,88;22.300;-60;-60;-60
0,000447;0,88;0;0,88;22.350;-60;-60;-60
0,000448;0,88;0;0,88;22.400;-60;-60;-60
0,000449;0,88;0;0,88;22.450;-60;-42,1429;-42,147
0,00045;0,856;0;0,856;22.500;-60;-33,9974;-33,9963
0,000451;0,84;0;0,84;22.550;-60;-40,6973;-40,6937
0,000452;0,84;0;0,84;22.600;-60;-60;-60
0,000453;0,84;0;0,84;22.650;-60;-60;-60
